date,0P0000KU3M.F,LU1313770536
2022-06-09,249.17,7933.58
2022-06-10,244.0,7870.78
2022-06-13,236.68,7772.56
2022-06-14,232.7,7700.29
2022-06-15,235.13,7748.62
2022-06-16,230.28,7699.78
2022-06-17,231.68,7712.05
2022-06-20,232.31,7691.99
2022-06-21,234.42,7701.37
2022-06-22,234.27,7722.16
2022-06-23,234.69,
2022-06-24,240.45,7774.63
2022-06-27,240.21,7751.66
2022-06-28,239.5,7727.91
2022-06-29,236.74,7734.78
2022-06-30,233.98,7754.85
2022-07-01,233.95,7785.97
2022-07-04,233.75,7751.08
2022-07-05,231.43,7809.49
2022-07-06,236.08,7830.37
2022-07-07,238.38,7808.44
2022-07-08,239.26,7830.72
2022-07-11,238.09,7869.91
2022-07-12,238.57,7902.58
2022-07-13,237.48,7883.26
2022-07-14,,7862.94
2022-07-15,239.74,7879.47
2022-07-18,241.5,7854.35
2022-07-19,244.2,7834.52
2022-07-20,244.9,7870.24
2022-07-21,247.26,7877.88
2022-07-22,247.58,7965.64
2022-07-25,246.91,7991.29
2022-07-26,245.6,8010.91
2022-07-27,247.86,7996.97
2022-07-28,251.2,8058.31
2022-07-29,255.5,8068.18
2022-08-01,256.73,8086.43
2022-08-02,254.76,8072.81
2022-08-03,255.85,8052.93
2022-08-04,257.76,8079.93
2022-08-05,255.13,8031.62
2022-08-08,255.74,8047.98
2022-08-09,253.04,8039.5
2022-08-10,256.37,8052.33
2022-08-11,257.24,8042.16
2022-08-12,257.42,8037.3
2022-08-16,258.5,8048.34
2022-08-17,256.83,7984.97
2022-08-18,257.08,7966.95
2022-08-19,255.15,7918.05
2022-08-22,251.34,7867.05
2022-08-23,249.33,7859.52
2022-08-24,250.85,7848.48
2022-08-25,251.53,7870.68
2022-08-26,246.92,7848.78
2022-08-29,244.17,
2022-08-30,243.48,7793.78
2022-08-31,241.81,7764.23
2022-09-01,237.65,7749.66
2022-09-02,240.68,7751.75
2022-09-05,238.51,7745.55
2022-09-06,239.07,7734.27
2022-09-07,239.21,7750.39
2022-09-08,240.57,7722.64
2022-09-09,243.82,7746.96
2022-09-12,246.36,7770.47
2022-09-13,241.21,7741.74
2022-09-14,239.73,7733.7
2022-09-15,237.05,7716.22
2022-09-16,234.34,7710.65
2022-09-19,234.83,
2022-09-20,231.51,7664.46
2022-09-21,232.75,7661.64
2022-09-22,226.56,7640.33
2022-09-23,223.31,7619.13
2022-09-26,222.72,7582.68
2022-09-27,222.51,7545.2
2022-09-28,224.02,7541.25
2022-09-29,219.77,7515.52
2022-09-30,222.33,7534.06
2022-10-03,223.57,7579.11
2022-10-04,231.94,7618.75
2022-10-05,230.29,7568.89
